IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
144.21.48.118,4,4,0.00,109.73,0.00
129.159.221.190,4,4,0.00,109.74,0.00
130.162.49.248,4,4,0.00,109.75,0.00
130.162.215.229,4,4,0.00,109.76,0.00
130.162.221.195,4,4,0.00,109.77,0.00
152.70.46.243,4,4,0.00,109.77,0.00
143.47.235.234,4,4,0.00,109.80,0.00
144.24.181.168,4,4,0.00,109.83,0.00
138.3.254.39,4,4,0.00,109.85,0.00
143.47.178.242,4,4,0.00,109.89,0.00
144.24.184.166,4,4,0.00,109.89,0.00
130.162.228.90,4,4,0.00,109.89,0.00
143.47.224.151,4,4,0.00,109.89,0.00
144.24.174.77,4,4,0.00,109.90,0.00
141.147.94.127,4,4,0.00,109.90,0.00
143.47.244.255,4,4,0.00,109.91,0.00
130.162.55.77,4,4,0.00,109.95,0.00
141.147.64.218,4,4,0.00,109.96,0.00
138.2.181.126,4,4,0.00,109.97,0.00
143.47.180.73,4,4,0.00,109.97,0.00
132.226.128.112,4,4,0.00,110.03,0.00
141.147.29.64,4,4,0.00,110.05,0.00
143.47.232.103,4,4,0.00,110.05,0.00
130.162.239.176,4,4,0.00,110.06,0.00
141.147.117.72,4,4,0.00,110.07,0.00
141.144.229.242,4,4,0.00,110.07,0.00
129.159.242.23,4,4,0.00,110.07,0.00
141.147.27.168,4,4,0.00,110.09,0.00
141.147.48.119,4,4,0.00,110.09,0.00
141.147.9.213,4,4,0.00,110.09,0.00
143.47.246.143,4,4,0.00,110.11,0.00
141.147.56.203,4,4,0.00,110.15,0.00
150.230.148.3,4,4,0.00,110.18,0.00
152.70.58.30,4,4,0.00,110.18,0.00
130.61.206.41,4,4,0.00,110.18,0.00
138.2.136.35,4,4,0.00,110.19,0.00
138.3.254.133,4,4,0.00,110.19,0.00
130.162.249.79,4,4,0.00,110.23,0.00
141.147.64.239,4,4,0.00,110.23,0.00
141.147.77.24,4,4,0.00,110.27,0.00
130.162.241.28,4,4,0.00,110.27,0.00
144.21.59.57,4,4,0.00,110.27,0.00
138.2.177.169,4,4,0.00,110.30,0.00
144.24.168.240,4,4,0.00,110.30,0.00
152.67.136.243,4,4,0.00,110.31,0.00
141.144.231.217,4,4,0.00,110.31,0.00
138.2.188.96,4,4,0.00,110.33,0.00
141.147.51.38,4,4,0.00,110.34,0.00
193.122.48.191,4,4,0.00,110.36,0.00
152.70.25.234,4,4,0.00,110.41,0.00
138.3.254.179,4,4,0.00,110.42,0.00
141.147.40.199,4,4,0.00,110.44,0.00
129.159.206.90,4,4,0.00,110.51,0.00
132.226.197.126,4,4,0.00,110.52,0.00
138.2.130.11,4,4,0.00,110.53,0.00
141.147.38.181,4,4,0.00,110.54,0.00
130.162.240.154,4,4,0.00,110.55,0.00
141.144.244.184,4,4,0.00,110.64,0.00
129.159.14.193,4,4,0.00,110.65,0.00
132.145.246.40,4,4,0.00,110.65,0.00
141.147.42.107,4,4,0.00,110.66,0.00
141.147.28.209,4,4,0.00,110.68,0.00
138.2.177.137,4,4,0.00,110.78,0.00
130.162.160.233,4,4,0.00,110.80,0.00
150.230.144.38,4,4,0.00,110.87,0.00
138.3.245.200,4,4,0.00,110.88,0.00
138.3.245.218,4,4,0.00,110.89,0.00
141.147.31.249,4,4,0.00,110.93,0.00
141.147.30.184,4,4,0.00,111.16,0.00
141.147.19.96,4,4,0.00,111.20,0.00
130.162.178.252,4,4,0.00,111.25,0.00
158.180.231.216,4,4,0.00,111.35,0.00
144.24.166.110,4,4,0.00,111.42,0.00
130.162.188.246,4,4,0.00,111.67,0.00
141.144.253.109,4,4,0.00,111.73,0.00
132.226.198.35,4,4,0.00,111.74,0.00
141.144.228.203,4,4,0.00,112.08,0.00
130.162.163.124,4,4,0.00,112.35,0.00
140.238.121.54,4,4,0.00,113.08,0.00
143.47.241.63,4,4,0.00,113.57,0.00
144.24.243.207,4,4,0.00,113.68,0.00
143.47.247.216,4,4,0.00,113.80,0.00
